date,open,high,low,close,volume,source,symbol
2025-06-17,1420.0,1427.0,1412.18,1427.0,27232,akshare,600519.SH
2025-06-18,1440.0,1443.44,1421.01,1425.0,30761,akshare,600519.SH
2025-06-19,1426.0,1433.67,1417.18,1426.0,24501,akshare,600519.SH
2025-06-20,1423.58,1441.14,1420.2,1428.66,34816,akshare,600519.SH
2025-06-23,1420.0,1433.0,1405.18,1420.0,26723,akshare,600519.SH
2025-06-24,1423.35,1451.68,1423.35,1437.2,36312,akshare,600519.SH
2025-06-25,1439.11,1449.2,1420.51,1435.86,41050,akshare,600519.SH
2025-06-26,1415.0,1428.0,1410.08,1420.0,34860,akshare,600519.SH
2025-06-27,1420.01,1423.0,1403.09,1403.09,38250,akshare,600519.SH
2025-06-30,1403.5,1413.23,1402.0,1409.52,30457,akshare,600519.SH
2025-07-01,1409.0,1411.94,1403.31,1405.1,19878,akshare,600519.SH
2025-07-02,1409.5,1414.8,1400.0,1409.6,26218,akshare,600519.SH
2025-07-03,1412.0,1422.69,1408.0,1415.6,24413,akshare,600519.SH
2025-07-04,1415.7,1431.89,1410.01,1422.22,28767,akshare,600519.SH
2025-07-07,1422.28,1423.5,1410.01,1410.7,23855,akshare,600519.SH
2025-07-08,1410.71,1420.0,1410.7,1416.11,18674,akshare,600519.SH
2025-07-09,1415.0,1429.97,1414.17,1418.88,27745,akshare,600519.SH
2025-07-10,1418.97,1436.18,1410.4,1426.5,38725,akshare,600519.SH
2025-07-11,1423.16,1458.0,1423.16,1427.0,57243,akshare,600519.SH
2025-07-14,1430.0,1434.98,1421.6,1423.6,27781,akshare,600519.SH
2025-07-15,1420.98,1422.93,1408.32,1411.0,35406,akshare,600519.SH
2025-07-16,1410.01,1417.49,1409.95,1411.03,21286,akshare,600519.SH
2025-07-17,1413.98,1423.01,1412.88,1416.35,23106,akshare,600519.SH
2025-07-18,1420.0,1437.81,1416.38,1437.0,41823,akshare,600519.SH
2025-07-21,1436.99,1446.8,1435.0,1443.0,26203,akshare,600519.SH
2025-07-22,1444.0,1466.6,1440.68,1464.98,42119,akshare,600519.SH
2025-07-23,1469.0,1495.0,1468.95,1475.5,45045,akshare,600519.SH
2025-07-24,1476.0,1499.0,1475.0,1491.5,38804,akshare,600519.SH
2025-07-25,1491.4,1491.4,1453.0,1455.0,41911,akshare,600519.SH
2025-07-28,1453.0,1454.99,1436.3,1438.66,38586,akshare,600519.SH
2025-07-29,1439.6,1448.79,1435.01,1439.0,26304,akshare,600519.SH
2025-07-30,1444.0,1457.16,1437.0,1449.44,31868,akshare,600519.SH
2025-07-31,1443.0,1444.87,1418.0,1421.67,51798,akshare,600519.SH
2025-08-01,1421.87,1425.96,1414.0,1417.0,29636,akshare,600519.SH
2025-08-04,1415.0,1419.8,1414.0,1419.0,18688,akshare,600519.SH
2025-08-05,1421.0,1429.94,1417.11,1427.74,25342,akshare,600519.SH
2025-08-06,1429.0,1429.0,1419.3,1423.88,23699,akshare,600519.SH
2025-08-07,1423.88,1427.7,1420.06,1422.35,28001,akshare,600519.SH
2025-08-08,1423.05,1426.5,1418.0,1420.97,18655,akshare,600519.SH
2025-08-11,1423.5,1451.99,1423.0,1445.0,47159,akshare,600519.SH
2025-08-12,1449.0,1465.07,1436.0,1437.04,42019,akshare,600519.SH
2025-08-13,1425.0,1433.68,1420.0,1420.05,65528,akshare,600519.SH
2025-08-14,1420.94,1447.51,1420.94,1426.99,48129,akshare,600519.SH
2025-08-15,1426.01,1428.66,1420.22,1422.08,47582,akshare,600519.SH
2025-08-18,1426.99,1436.64,1423.1,1428.5,47378,akshare,600519.SH
2025-08-19,1433.5,1446.66,1432.0,1438.0,46372,akshare,600519.SH
2025-08-20,1438.0,1452.8,1430.02,1450.0,45805,akshare,600519.SH
2025-08-21,1453.45,1454.99,1443.65,1448.25,30891,akshare,600519.SH
2025-08-22,1448.88,1464.0,1444.77,1463.95,44971,akshare,600519.SH
2025-08-25,1470.01,1496.0,1466.0,1490.33,65325,akshare,600519.SH
2025-08-26,1490.32,1494.23,1480.01,1481.61,39602,akshare,600519.SH
2025-08-27,1481.88,1484.93,1448.0,1448.0,56006,akshare,600519.SH
2025-08-28,1447.97,1456.1,1438.77,1446.1,39282,akshare,600519.SH
2025-08-29,1453.0,1482.58,1452.0,1480.0,62256,akshare,600519.SH
